fecha,tipo_ingreso,linea,ingreso
2022-01-11,Boletos,Línea 4,98825
2022-01-11,Boletos,Línea 5,216025
2022-01-11,Boletos,Línea 6,103325
2022-01-11,Boletos,Línea 7,230500
2022-01-11,Boletos,Línea 8,358125
2022-01-11,Boletos,Línea 9,259800
2022-01-11,Boletos,Línea A,319825
2022-01-11,Boletos,Línea B,449700
2022-01-11,Boletos,Línea 12,0
2022-01-11,Recargas,Línea 1,1116474.4
2022-01-11,Recargas,Línea 2,1250099.5
2022-01-11,Recargas,Línea 3,1260949.3
2022-01-11,Recargas,Línea 4,128423
2022-01-11,Recargas,Línea 5,362665.5
2022-01-11,Recargas,Línea 6,223679.3
2022-01-11,Recargas,Línea 7,652460.5
2022-01-11,Recargas,Línea 8,851383.1
2022-01-11,Recargas,Línea 9,685880.7
2022-01-11,Recargas,Línea A,544869.5
2022-01-11,Recargas,Línea B,857302.2
2022-01-11,Recargas,Línea 12,0
2022-01-11,Tarjetas,Línea 1,12930
2022-01-11,Tarjetas,Línea 2,11880
2022-01-11,Tarjetas,Línea 3,9810
2022-01-11,Tarjetas,Línea 4,615
2022-01-11,Tarjetas,Línea 5,3210
2022-01-11,Tarjetas,Línea 6,1515
2022-01-11,Tarjetas,Línea 7,4020
2022-01-11,Tarjetas,Línea 8,6120
2022-01-11,Tarjetas,Línea 9,4800
2022-01-11,Tarjetas,Línea A,4440
2022-01-11,Tarjetas,Línea B,5790
2022-01-11,Tarjetas,Línea 12,0
2022-01-11,QR/Validación,Línea 1,0
2022-01-11,QR/Validación,Línea 2,0
2022-01-11,QR/Validación,Línea 3,0
2022-01-11,QR/Validación,Línea 4,0
2022-01-11,QR/Validación,Línea 5,0
2022-01-11,QR/Validación,Línea 6,0
2022-01-11,QR/Validación,Línea 7,0
2022-01-11,QR/Validación,Línea 8,0
2022-01-11,QR/Validación,Línea 9,10075
2022-01-11,QR/Validación,Línea A,0
2022-01-11,QR/Validación,Línea B,0
2022-01-11,QR/Validación,Línea 12,0
2022-01-12,Boletos,Línea 1,669200
2022-01-12,Boletos,Línea 2,607585
2022-01-12,Boletos,Línea 3,503570
2022-01-12,Boletos,Línea 4,97250
2022-01-12,Boletos,Línea 5,218875
2022-01-12,Boletos,Línea 6,106525
2022-01-12,Boletos,Línea 7,229950
2022-01-12,Boletos,Línea 8,349600
2022-01-12,Boletos,Línea 9,258475
2022-01-12,Boletos,Línea A,323250
2022-01-12,Boletos,Línea B,478375
2022-01-12,Boletos,Línea 12,0
2022-01-12,Recargas,Línea 1,1036451.6
2022-01-12,Recargas,Línea 2,1166989.1
2022-01-12,Recargas,Línea 3,1192828.8
2022-01-12,Recargas,Línea 4,116011
2022-01-12,Recargas,Línea 5,319387.7
2022-01-12,Recargas,Línea 6,200437.5
2022-01-12,Recargas,Línea 7,593036.5
2022-01-12,Recargas,Línea 8,793155.6
2022-01-12,Recargas,Línea 9,592331
2022-01-12,Recargas,Línea A,480596.4
2022-01-12,Recargas,Línea B,754386.8
2022-01-12,Recargas,Línea 12,0
2022-01-12,Tarjetas,Línea 1,10365
2022-01-12,Tarjetas,Línea 2,10800
2022-01-12,Tarjetas,Línea 3,8400
2022-01-12,Tarjetas,Línea 4,495
2022-01-12,Tarjetas,Línea 5,2760
2022-01-12,Tarjetas,Línea 6,1650
2022-01-12,Tarjetas,Línea 7,4095
2022-01-12,Tarjetas,Línea 8,5835
2022-01-12,Tarjetas,Línea 9,3345
2022-01-12,Tarjetas,Línea A,3690
2022-01-12,Tarjetas,Línea B,5040
2022-01-12,Tarjetas,Línea 12,0
2022-01-12,QR/Validación,Línea 1,0
2022-01-12,QR/Validación,Línea 2,0
2022-01-12,QR/Validación,Línea 3,0
2022-01-12,QR/Validación,Línea 4,0
2022-01-12,QR/Validación,Línea 5,0
2022-01-12,QR/Validación,Línea 6,0
2022-01-12,QR/Validación,Línea 7,0
2022-01-12,QR/Validación,Línea 8,0
2022-01-12,QR/Validación,Línea 9,6555
2022-01-12,QR/Validación,Línea A,0
2022-01-12,QR/Validación,Línea B,0
2022-01-12,QR/Validación,Línea 12,0
2022-01-13,Boletos,Línea 1,671200
2022-01-13,Boletos,Línea 2,608075
2022-01-13,Boletos,Línea 3,484625
2022-01-13,Boletos,Línea 4,99925
2022-01-13,Boletos,Línea 5,215925
2022-01-13,Boletos,Línea 6,107425
2022-01-13,Boletos,Línea 7,236800
2022-01-13,Boletos,Línea 8,354975
2022-01-13,Boletos,Línea 9,243600
2022-01-13,Boletos,Línea A,308325
2022-01-13,Boletos,Línea B,475775
2022-01-13,Boletos,Línea 12,0
2022-01-13,Recargas,Línea 1,1170599.3
2022-01-13,Recargas,Línea 2,1151361
2022-01-13,Recargas,Línea 3,1105970.4
2022-01-13,Recargas,Línea 4,118911
2022-01-13,Recargas,Línea 5,345409.5
2022-01-13,Recargas,Línea 6,191651
2022-01-13,Recargas,Línea 7,582143.5
2022-01-13,Recargas,Línea 8,773159.7
2022-01-13,Recargas,Línea 9,653084.2
2022-01-13,Recargas,Línea A,511880.6
2022-01-13,Recargas,Línea B,764517.8
2022-01-13,Recargas,Línea 12,0
2022-01-13,Tarjetas,Línea 1,10695
2022-01-13,Tarjetas,Línea 2,11280
2022-01-13,Tarjetas,Línea 3,8685
2022-01-13,Tarjetas,Línea 4,540
2022-01-13,Tarjetas,Línea 5,3240
2022-01-13,Tarjetas,Línea 6,1140
2022-01-13,Tarjetas,Línea 7,3645
2022-01-13,Tarjetas,Línea 8,5565
2022-01-13,Tarjetas,Línea 9,5430
2022-01-13,Tarjetas,Línea A,3780
2022-01-13,Tarjetas,Línea B,5340
2022-01-13,Tarjetas,Línea 12,0
2022-01-13,QR/Validación,Línea 1,0
2022-01-13,QR/Validación,Línea 2,0
2022-01-13,QR/Validación,Línea 3,0
2022-01-13,QR/Validación,Línea 4,0
2022-01-13,QR/Validación,Línea 5,0
2022-01-13,QR/Validación,Línea 6,0
2022-01-13,QR/Validación,Línea 7,0
2022-01-13,QR/Validación,Línea 8,0
2022-01-13,QR/Validación,Línea 9,10160
2022-01-13,QR/Validación,Línea A,0
2022-01-13,QR/Validación,Línea B,0
2022-01-13,QR/Validación,Línea 12,0
2022-01-14,Boletos,Línea 1,738325
2022-01-14,Boletos,Línea 2,678125
2022-01-14,Boletos,Línea 3,526135
2022-01-14,Boletos,Línea 4,106125
2022-01-14,Boletos,Línea 5,229000
2022-01-14,Boletos,Línea 6,111400
2022-01-14,Boletos,Línea 7,253900
2022-01-14,Boletos,Línea 8,385825
2022-01-14,Boletos,Línea 9,282050
2022-01-14,Boletos,Línea A,334750
2022-01-14,Boletos,Línea B,516350
2022-01-14,Boletos,Línea 12,0
2022-01-14,Recargas,Línea 1,1160285.5
2022-01-14,Recargas,Línea 2,1296043
2022-01-14,Recargas,Línea 3,1268031.4
2022-01-14,Recargas,Línea 4,136943
2022-01-14,Recargas,Línea 5,365667
2022-01-14,Recargas,Línea 6,208940.5
2022-01-14,Recargas,Línea 7,682931.6
2022-01-14,Recargas,Línea 8,837405
2022-01-14,Recargas,Línea 9,701162.5
2022-01-14,Recargas,Línea A,503619.5
